title,company,location,date,link,skills
Business Intelligence Analyst,Carrot Fertility,United States,2024-04-26,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-carrot-fertility-3912095169?position=11&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=Xe%2BbsrVxI84Fw2iDqUis2g%3D%3D&trk=public_jobs_jserp-result_search-card,"['SQL', 'SQL queries', 'joins', 'common table expressions', 'experiment design', 'hypothesis testing', 'statistical significance', 'data visualization', 'Looker', 'DOMO', 'dbt to transform', 'version control systems', 'Git', 'data modeling']"
Business Operations Analyst - Capital One/HTS,Hopper,"Boston, MA",2024-02-12,https://www.linkedin.com/jobs/view/business-operations-analyst-capital-one-hts-at-hopper-3828061420?position=12&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=p1tJCfcncCYGkiIxOIQFWQ%3D%3D&trk=public_jobs_jserp-result_search-card,"['BI tools', 'SQLA']"
Junior/Entry Level Software Developer,SynergisticIT,"Dallas, TX",2024-03-16,https://www.linkedin.com/jobs/view/junior-entry-level-software-developer-at-synergisticit-3856353455?position=13&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=PrcverW5e5JFu4StLOyq3A%3D%3D&trk=public_jobs_jserp-result_search-card,"['programming language Java', 'software development life cycle', 'Core Java', 'javascript', 'C + +', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'data Science', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT', 'programming language Java', 'software development life cycle', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization tools', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'SAS', 'Tensorflow']"
Software Developer(Entry Level) - Remote,SynergisticIT,"Atlanta, GA",2024-04-16,https://www.linkedin.com/jobs/view/software-developer-entry-level-remote-at-synergisticit-3903167957?position=14&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=hbUD2DTz7Ur8AdDz4EZ%2FAg%3D%3D&trk=public_jobs_jserp-result_search-card,"['Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'programming language Java', 'software development life cycleProject', 'Core Java', 'javascript', 'C + +', 'software programmingSpring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'programming language Java', 'software development life cycleKnowledge', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization toolsExcellent', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'SAS', 'TensorflowIf']"
AI/ML Data Scientist,"Unreal Staffing, Inc","San Francisco, CA",2024-04-11,https://www.linkedin.com/jobs/view/ai-ml-data-scientist-at-unreal-staffing-inc-3895815963?position=15&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=2PPyR%2FwvDUMg8TcPgjhSiw%3D%3D&trk=public_jobs_jserp-result_search-card,"['machine learning models', 'machine learning', 'parallel processing', 'distributed computing Data Visualization', 'Interpretation', ""Bachelor ' s degree"", 'Computer Science', 'Statistics', 'Mathematics', 'data science', 'AI', 'ML', 'programming', 'Scala', 'data manipulation', 'machine learning', 'machine learning libraries and frameworks', 'TensorFlow', 'PyTorch', 'scikit - learn', 'Spark MLlibStrong', 'data science', 'data science', 'AI', 'machine learning']"
Entry Level Software Developer(Remote),SynergisticIT,"Detroit, MI",2024-03-30,https://www.linkedin.com/jobs/view/entry-level-software-developer-remote-at-synergisticit-3873776038?position=16&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=5%2FusquTIjFsR27%2BBRwnTUA%3D%3D&trk=public_jobs_jserp-result_search-card,"['programming language Java', 'software development life cycle', 'Core Java', 'javascript', 'C + +', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'data Science', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT', 'programming language Java', 'software development life cycle', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization tools', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'SAS', 'Tensorflow']"
"Python Developer, Remote",Stellent IT,United States,2024-04-09,https://www.linkedin.com/jobs/view/python-developer-remote-at-stellent-it-3888425649?position=17&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=JZeGwx46owvPri%2FWFiqOkw%3D%3D&trk=public_jobs_jserp-result_search-card,"['Python', 'Python 3', 'Python', 'AWS Elastic Beanstalk', 'Dependency analysis', 'Security analysis', 'Python', 'Django', 'multi - table deployments', 'AWS Elastic']"
Remote Software Developer - Entry/Junior,SynergisticIT,"Philadelphia, PA",2024-04-20,https://www.linkedin.com/jobs/view/remote-software-developer-entry-junior-at-synergisticit-3902895061?position=18&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=VUbICqTSy2KmqT0%2FBT2JjQ%3D%3D&trk=public_jobs_jserp-result_search-card,"['programming language Java', 'software development life cycle', 'Core Java', 'javascript', 'C + +', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'data Science', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT', 'programming language Java', 'software development life cycle', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization tools', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'SAS', 'Tensorflow']"
Junior Software Developer(REMOTE),SynergisticIT,"Austin, TX",2024-02-24,https://www.linkedin.com/jobs/view/junior-software-developer-remote-at-synergisticit-3833862728?position=19&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=1FpZclWiGUhJ5z5acFXhxw%3D%3D&trk=public_jobs_jserp-result_search-card,"['Computer science Engineering', 'Tech', 'Green card', 'Software Programmer Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT', 'Java', 'software development life cycle', 'javascript', 'C +', 'software programming Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API s', 'data Science Machine learning PositionsRequired', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT Project', 'Java', 'Python', 'Computer Vision']"
Junior Data Engineer,Team Remotely Inc,"Portland, OR",2024-04-30,https://www.linkedin.com/jobs/view/junior-data-engineer-at-team-remotely-inc-3914225141?position=20&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=ijisuaE%2BtDyTXOTHG%2B3iBQ%3D%3D&trk=public_jobs_jserp-result_search-card,"['Data pipeline development', 'Data modeling', 'Data Integration', 'Kafka', 'data processes', 'data flows', 'system', 'Performance Optimization', 'Python', 'Java', 'SQL 2', 'ETL tools', 'database management', 'data modeling techniques', 'tools', 'data quality assessment', 'data cleansing', 'data validation', 'big data technologies', 'cloud platforms', 'PySpark', 'Databricks', 'Azure Synapse', 'Computer Science', 'Information Technology']"
